난이도,문장,언어
하,I go to school every day,영
하,She likes to read books,영
하,He plays soccer very well,영
하,The dog is running fast,영
하,My sister lives in London,영
하,We eat dinner at six,영
하,They walk to work together,영
하,Please open the window now,영
하,The cat sleeps on the bed,영
하,I want to drink water,영
하,This book is very interesting,영
하,She wears a blue dress,영
하,He drives a new car,영
하,Today is a sunny day,영
하,My phone is on the table,영
하,We learn English at school,영
하,The movie starts at nine,영
하,Can you help me please,영
하,The baby is crying loudly,영
하,I work from home today,영
하,Do you like this song,영
하,My father cooks very well,영
하,She walks her dog daily,영
하,We live in a small house,영
하,The bus comes every hour,영
하,He watches TV after dinner,영
하,Birds fly in the sky,영
하,The apple tastes very sweet,영
하,I need to buy groceries,영
하,She speaks three languages fluently,영
하,Please turn off the light,영
하,My birthday is in April,영
하,The train leaves at noon,영
하,We play games on weekends,영
하,He writes emails every morning,영
하,I brush my teeth twice,영
하,The store opens at eight,영
하,She sings in the shower,영
하,I eat breakfast every morning,영
하,The sun rises in the east,영
하,He works at a bank,영
하,We go swimming in summer,영
하,The flowers smell very nice,영
하,I study math and science,영
하,She calls her mother daily,영
하,The children play in the park,영
하,He reads books before sleeping,영
하,We visit grandparents on Sundays,영
하,The concert begins at seven,영
하,I drink coffee every morning,영
하,She walks to work daily,영
하,Time flies when having fun,영
하,The river flows to sea,영
하,He listens to music often,영
하,We dance at the party,영
하,The moon shines at night,영
하,I wear glasses to read,영
하,She teaches English to children,영
하,The bell rings at noon,영
하,He cleans his room weekly,영
하,We watch movies on Fridays,영
하,The wind blows very strongly,영
하,I travel by train sometimes,영
하,She writes stories for children,영
하,We swim in the ocean,영
하,The door opens automatically now,영
하,He plays piano very beautifully,영
하,I speak English and Spanish,영
하,The snow falls in winter,영
하,She waits at the bus stop,영
하,We cook dinner together sometimes,영
하,The students study for exams,영
하,He walks the dog twice daily,영
하,I wash dishes after eating,영
하,The rain falls heavily today,영
하,She works at a hospital,영
하,We climb mountains in summer,영
하,The stars shine in the sky,영
하,He eats breakfast at seven,영
하,I ride my bike to school,영
하,The class starts at nine,영
하,She sleeps eight hours nightly,영
하,We drive to the beach,영
하,The birds sing in spring,영
하,He draws pictures very well,영
하,I plant flowers in spring,영
하,The teacher explains the lesson,영
하,She runs in the park,영
하,We read books every night,영
하,The clock ticks on the wall,영
하,He visits Paris next month,영
하,I carry a blue backpack,영
하,The dog barks at strangers,영
하,She drinks tea every morning,영
하,We shop at the mall,영
하,The car stops at red lights,영
하,He takes photos of landscapes,영
하,I buy new shoes tomorrow,영
중,"After finishing her homework, Mary decided to watch a movie",영
중,The museum will be closed for renovations until next month,영
중,"Before going to the party, I need to pick up my friend",영
중,"Although it was raining, we still went for a long walk",영
중,"When I arrived at the station, the train had already left",영
중,She has been learning Spanish for more than three years now,영
중,"If you study hard, you will pass the exam without problems",영
중,The new restaurant that opened last week serves Italian cuisine,영
중,"While my brother was playing piano, I was reading a book",영
중,They are planning to visit Japan during the cherry blossom season,영
중,The company where my father works has opened a new branch,영
중,"Since moving to the city, I have made many new friends",영
중,We should finish this project before the deadline next Friday,영
중,The movie that won the Oscar this year was directed brilliantly,영
중,"If the weather is nice tomorrow, we can go to the beach",영
중,She always drinks coffee while reading the morning newspaper,영
중,The book which I borrowed from the library is very interesting,영
중,"Before applying for the job, you need to update your resume",영
중,"Although he practiced a lot, he still lost the tennis match",영
중,The flight to New York was delayed due to bad weather,영
중,"When I was a child, I used to visit my grandparents often",영
중,The teacher asked us to submit our assignments by next Monday,영
중,"After graduating from university, he started his own business",영
중,We need to book the hotel room as soon as possible,영
중,The car that I bought last year is very fuel efficient,영
중,"If you need any help with your homework, just call me",영
중,She has been working on this research project since last summer,영
중,The restaurant where we had dinner yesterday was quite expensive,영
중,"While traveling through Europe, they visited many historical sites",영
중,The meeting has been rescheduled to take place next Wednesday,영
중,"Despite the heavy traffic, we arrived at the airport on time",영
중,The company is looking for employees who can speak multiple languages,영
중,"Before making a decision, you should consider all the options carefully",영
중,"After watching the documentary, I changed my opinion about the issue",영
중,The concert which was scheduled for tonight has been postponed,영
중,"Since starting this new diet, I have lost five pounds",영
중,The cake that my mother baked for my birthday was delicious,영
중,"During the summer vacation, we plan to visit the Grand Canyon",영
중,"Unless it rains tomorrow, we will go hiking in the mountains",영
중,The package that I ordered online should arrive within three days,영
중,"Although I studied all night, I still failed the exam",영
중,"When the alarm went off, I was already awake",영
중,The movie which we saw last weekend was based on a novel,영
중,"After finishing the marathon, he felt extremely tired but satisfied",영
중,The report must be completed and submitted by the end of week,영
중,"Since learning about climate change, I try to recycle more",영
중,The house where I grew up was near a beautiful park,영
중,"While waiting for the bus, I listened to my favorite podcast",영
중,The students who study hard usually get better grades,영
중,"Before going to bed, I always brush my teeth and read",영
중,"Although the restaurant was expensive, the food was worth it",영
중,The computer that I bought recently has been working perfectly,영
중,"If you want to improve your English, you should practice daily",영
중,She has been teaching at this university for over ten years,영
중,The film which won several awards tells a powerful story,영
중,"Since moving to this neighborhood, we feel much safer and happier",영
중,The book that my professor recommended was very helpful for my research,영
중,"During our trip to Italy, we visited Rome, Florence, and Venice",영
중,"Unless you have a ticket, you cannot enter the concert hall",영
중,The presentation that I gave yesterday received positive feedback,영
중,"Although it was his first competition, he performed exceptionally well",영
중,"When the power went out, we had to use candles",영
중,The building which was constructed last year is environmentally friendly,영
중,"After discussing the problem, we came up with a good solution",영
중,The results of the experiment must be analyzed by next week,영
중,"Despite the challenges, they managed to complete the project on time",영
중,The hotel where we stayed during our vacation had an amazing view,영
중,"While cooking dinner, I accidentally cut my finger with a knife",영
중,The students who participated in the debate performed very well,영
중,"Before taking medicine, you should read the instructions carefully",영
중,The painting which was sold at auction fetched a million dollars,영
중,"If you leave now, you might catch the last train home",영
중,She has been collecting stamps since she was a young girl,영
중,The city where I was born has changed considerably over years,영
중,"After receiving the news, she immediately called her family",영
중,The documents must be signed and returned by the end of month,영
중,"Since learning to play guitar, he has written several songs",영
중,The restaurant that opened recently specializes in vegan cuisine,영
중,"During the conference, many interesting topics were discussed by experts",영
중,"Unless we act now, the situation will only get worse",영
중,The car which I rented for our trip broke down yesterday,영
중,"Although it was expensive, the quality of the product is excellent",영
