난이도,문장,언어
하,오늘은 날씨가 좋습니다,한
하,저는 학교에 갑니다,한
하,빵이 정말 맛있어요,한
하,내일 친구를 만나요,한
하,책을 읽는 것이 좋아요,한
하,집에 가는 길이 멀어요,한
하,물이 너무 차갑습니다,한
하,공원에서 산책했어요,한
하,영화를 보러 갑시다,한
하,새가 하늘을 날아요,한
하,음악을 듣고 있어요,한
하,한국어 공부가 재미있어요,한
하,저녁을 함께 먹어요,한
하,숙제를 다 했어요,한
하,시간이 빨리 지나갑니다,한
하,창문을 닫아주세요,한
하,문을 열고 들어왔어요,한
하,커피를 마시고 싶어요,한
하,사과를 세 개 샀어요,한
하,가방이 무거워요,한
하,손을 씻고 밥을 먹어요,한
하,우산을 가지고 나갔어요,한
하,버스가 오고 있어요,한
하,전화번호를 알려주세요,한
하,이름이 무엇입니까,한
하,지금 몇 시인가요,한
하,내일 시험이 있어요,한
하,주말에 쉬고 싶어요,한
하,꽃이 예쁘게 피었어요,한
하,눈이 많이 내립니다,한
하,아침에 일찍 일어났어요,한
하,모자를 쓰고 나갔어요,한
하,안경을 잃어버렸어요,한
하,지갑을 놓고 왔어요,한
하,열쇠가 없어졌어요,한
하,물을 많이 마셔요,한
하,비가 그쳤습니다,한
하,길을 잃어버렸어요,한
하,자전거를 탈 줄 알아요,한
하,사진을 찍고 싶어요,한
하,하늘에 별이 빛나요,한
하,낮말은 새가 듣는다,한
하,소나무가 높이 자랐어요,한
하,바다에서 수영을 했어요,한
하,산에 올라가면 힘들어요,한
하,아침 먹고 학교에 가요,한
하,가을이 되면 잎이 떨어져요,한
하,개미는 일을 열심히 해요,한
하,고양이가 창가에 앉아있어요,한
하,가는 날이 장날이다,한
하,개구리가 연못에서 놀아요,한
하,동전을 모아서 저금통에 넣어요,한
하,종이비행기를 날려 보았어요,한
하,비 온 뒤에 땅이 굳어진다,한
하,바늘도둑이 소도둑 된다,한
하,김치찌개를 끓이고 있어요,한
하,불고기를 구워 먹었어요,한
하,식사 전에 손을 씻어요,한
하,라면을 끓여서 먹었어요,한
하,집에서 빵을 만들었어요,한
하,떡볶이가 매워서 물을 마셨어요,한
하,수박은 여름에 제일 맛있어요,한
